,AROU_M,VAL_M,DOM_M,CNC_M,IMAG_M,FAM_M,AOA_M,SIZE_M,GEND_M
dim_39,0.10007378131280766,0.09022201337263891,0.06197120208129396,0.06631413686437855,0.08632193205663993,0.037079269503775644,-0.04284105686645746,0.12980667727087294,0.012116510082432504
dim_40,-0.02668831662640974,-0.1515232128350352,-0.03785890637342776,-0.054338926734943525,-0.046979179429888746,0.031455920122627753,0.06340078702145141,-0.028034040335976618,0.06877096740673624
dim_41,0.0005182461218426871,0.14926644643715822,0.0773102424094766,0.11172258409202768,0.13973413132732848,0.03001578934668744,-0.12863435941069307,-0.12846655848302257,-0.05403728049495369
dim_42,-0.10823543819866917,-0.023740709793467353,-0.010756683306447568,0.03467532023737351,-0.004377265318033054,0.028531447611110317,0.019245926135699643,-0.13030092908574825,0.03471534496521579
dim_43,-0.03175764652525108,-0.08486076027987069,-0.0630929278277088,0.053026274834372535,0.03512597122822824,0.04768240605509218,-0.03898888247717364,0.0013092560774715695,0.09060889707300726
dim_44,0.027034280813352008,0.06818635667518645,0.08654281739754255,0.09544404426227757,0.07512138621703442,0.053289918909357865,-0.07677199477843515,-0.05849936176874231,-0.01090115684143699
dim_45,0.12927064725220286,0.100248403624418,0.028227664098667123,-0.07597627993696524,-0.03233526446282726,0.036238650279833085,-0.039779335777584746,0.08672720080423406,-0.07052535940261004
dim_46,-0.007279633591409234,-0.01870311868900342,-0.03090764836488513,-0.03748169294942773,-0.006531507164754878,0.08317140341883152,-0.03887501865597282,-0.047703301905697854,-0.12405503480135828
dim_47,0.03601923419889523,-0.06731301006505162,-0.07938321614332026,-0.013243619893360535,0.04049816545594955,0.023987336815709553,-0.05668002467647525,0.10511574623039245,0.013451749802612255
dim_48,-0.009986879260449418,0.007625100092769566,-0.018904306285540705,-0.022323079689789152,-0.015381547066781421,0.10909203231934535,-0.10065670045461808,-0.012761928712323177,-0.010154749588023006
dim_49,-0.06480947210360834,0.025292031369994753,-0.061919569375676956,-0.009381571996694293,-0.021017306588833235,-0.03207479799299611,0.008467768187864898,-0.04950191656812363,-0.03321754784354195
dim_50,0.020457033710600616,0.034586475036705096,0.08960125061003597,0.0681290714320829,0.059415382226421364,-0.039766406231734934,0.04855747362754835,0.03236437803548508,0.03982643122844515
dim_51,0.08318328384543335,0.0757120428065799,0.07108702958957601,0.012597278781399188,0.00028511062628239534,0.0303415817063901,0.007944373080012175,0.049788860328174964,0.009459224085189712
dim_52,0.04133433730673425,-0.021268836846790044,-0.03319057693636389,-0.02979372971823253,-0.027801630581871645,-0.04889497273516677,0.050775481811394,0.0638105296149415,0.05807006966740523
dim_53,0.04785945990903246,-0.017123519247892505,-0.02018394721703766,-0.044307881256776906,-0.04144444887393627,0.003901756126855519,0.026866393804167655,0.07549755790272002,-0.06321926664683969
dim_54,-0.025751873992961572,-0.0003713537356428281,0.010085097943720537,0.04737967582238616,0.055941881666236766,0.03842396291404125,-0.016383184499810084,0.04269302874390205,0.030304587505736117
dim_55,-0.06191579076309018,0.027917809429102578,-0.025602176393217678,0.09537041589761887,0.07431896538691281,0.058584116852827516,-0.11819454748273989,-0.08565879555827297,-0.07536660954043078
dim_56,-0.0919416793895603,-0.10003531717937633,-0.06147389423604527,0.05666236350786948,0.03423514528507294,-0.010773314894081856,0.01852294224894292,-0.06765520722902582,0.019854896296891182
dim_57,-0.14306178584203605,-0.1428869156460148,-0.14006183134514402,0.04437065709695612,0.027963655341723542,0.0007470567278735666,-0.02092318965659969,-0.09155190711720969,0.005836331738385997
dim_58,-0.008334506241222823,-0.019544498772626703,-0.08312314009419465,-0.042798877138984864,-0.008361860815110216,0.01109216472415062,0.001187224965241836,0.02470227140123198,0.012496163895733282
