,AROU_M,VAL_M,DOM_M,CNC_M,IMAG_M,FAM_M,AOA_M,SIZE_M,GEND_M
dim_141,-0.0754288911686727,-0.061746477739940756,-0.03320556626632636,0.04487349274336781,0.019087333647894396,-0.07044743247533816,0.0648384143430268,-0.09206317136180496,0.02420786831002247
dim_142,-0.06502892459261442,0.033598388487461626,0.04719462157636704,0.04398827286290451,0.038549273201608406,-0.021418179699360385,-0.036295917230949104,-0.03955444017792338,0.014466683892080801
dim_143,0.02163200947038893,0.0014565723472988628,0.004244073083254521,0.02817854322999343,0.03193242159546235,0.033430073550340056,-0.03666199578760477,0.08924282055000646,-0.005714300984684671
dim_144,0.0053255358951641305,0.05564503354177444,0.012505960653753031,0.02525413048365661,0.03711989637102139,0.007353058365635457,-0.06430263461094408,-0.05694598424374176,-0.0674906822200575
dim_145,0.009948314965750073,0.028767607856247622,0.02140576572488638,0.0020368461801271633,0.015113859071557292,0.017094545258494076,-0.050647234688710574,0.0365534267464748,0.02307485719906578
dim_146,0.0382586554816798,0.022491376918422262,0.03636867020348142,-0.012787575730254496,-0.004055312596583475,3.6821218965317936e-05,0.002873102856621264,0.024725753955609678,0.03207053084343601
dim_147,0.004661232294150273,-0.002260393316672974,-0.030288274376611312,-0.03988175615947897,-0.03543370711126013,0.014627363348134042,-0.0059719133019052765,-0.028998868634995692,0.0038236609381550324
dim_148,0.01586439986659631,-0.01155676769743977,0.006165441887101596,-0.01339391033001728,-0.016319835763479937,-0.002790187616504651,-0.011864108379330189,0.03076644282969422,0.04729656895890205
dim_149,0.001848790370368923,-0.02333473848931826,-0.04466310474296892,-0.0071947884230201915,-0.012653456475984504,-0.02638163545581445,0.022260845177751145,-0.01286040008113491,-0.030917466587076448
dim_150,-0.005212301715194672,0.009778328269309413,-0.011467444688891909,0.039345383996302816,0.025112141383724394,-0.003126390803046765,0.035011206535558136,-0.04250941694688949,-0.007430396993587007
dim_151,0.0022493519556888767,-0.014288523773837509,0.007862389451960137,-0.06322496272460922,-0.07118423135204599,-0.033690747330271664,0.08591173053999936,0.029561304099288435,0.008620294308545579
dim_152,-0.035861421914398325,-0.011232691013747015,0.03538776490945214,0.018568380760106716,0.00793482656835583,-0.04354663564249035,0.025543055659799346,0.0036660559650191766,0.049737496688793896
dim_153,-0.029158671853927006,-0.013772598701832195,0.003938837217747304,0.03336366594816244,0.026972040260326645,0.08127615637973577,-0.020378243147298494,-0.04791283394221136,0.017595622492133534
dim_154,0.01926885754922703,-0.029979464106061043,-0.00034841140091780424,-0.046138647654901756,-0.0300507493736204,0.05984196802135446,-0.0374576422359401,0.02700138994531212,0.01156023488507675
dim_155,-0.025347738503980016,0.0038190127330023707,0.017722737716158357,-0.044076972238619484,-0.059682624307575254,-0.033840561274168623,0.045765846667322745,0.020662790167336603,0.05243143501589585
dim_156,-0.016235893666259035,-0.005854287386077257,0.01743013286526026,0.023056982852936937,-0.007510966564295465,-0.029198802327228403,0.03139365837383364,-0.006813287920630264,0.053310255119001754
dim_157,-0.02402572933684249,-0.05511098793350515,-0.010563477253308438,0.02388581139138947,-0.0042469398065123395,-0.05224892003340579,0.010950306430000249,0.06275317456578446,0.061688838362732076
dim_158,0.015515176380645916,0.04601008669134038,0.009204746830675072,-0.030240377419158315,-0.029890769141947517,-0.012952835453593249,0.021998266556910725,0.028473057353219318,0.0004986649648721445
dim_159,0.016213922736869127,0.03010913333502045,-0.0016925706613387839,0.01453970973960431,0.010529511244214439,-0.015152060545972176,0.052195707280152395,-0.022091589992540978,-0.030439512057349138
dim_160,-0.012943120597308034,0.002765316793898861,0.009991887990650757,0.045905279462806634,0.031617133334988425,-0.04687120423185832,-0.014224078349008422,0.007165041620178454,0.032671730474185534
dim_161,0.016190126834322385,0.03332613075503065,0.031670719935799035,0.05257680579579595,0.0557344261559301,0.03180071374510487,-0.07736282820883046,-0.026579043964760084,0.03750836611429271
dim_162,0.030588229427801417,-0.019894509880867824,-0.010740312753042222,-0.06423205719566509,-0.05966448426975248,0.018263805754812776,0.03250703070285681,0.039736291243339834,-0.011771631814166897
